Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
Riverside NS,Harrison AC,Jeffrey Swift,Neg,28,29
Carrollton KK,Cary CP,Zaid Umar,Neg,28,28
Sage MP,Scarsdale KS,Nethmin Liyanage,Aff,30,29
Strake Jesuit  JW,Millburn ST,Phoenix Pittman,Aff,29,29
Midlothian AC,Sam Barlow EL,Ronald Poole,Aff,29,29
Lincoln East LZ,Scarsdale OL,Nigel Taylor-Ward,Neg,28,28
Saratoga AG,St Agnes EH,Parth Misra,Aff,30,30
Lincoln East EB,Brookfield East DJ,Sim Guerrero,Neg,28,29
Orange Lutheran AZ,Denton Guyer SB,Will Hobson,Aff,29,29
Midlothian VS,Vestavia Hills GJ,Henry Eberhart,Neg,28,28
Ayala AM,Vestavia Hills DS,Sreyaash Das,Aff,30,29
Holy Ghost Prep CR,Mercer Island KS,Tanya Moss-Barry,Neg,28,28
Strake Jesuit  JS,Peninsula BD,Alex Berry,Aff,29,29
Ardrey Kell AS,Bronx Science NK,Dylan Sutton,Neg,28,29
Harker DS,Millburn AX,Praphulla Suryawanshi,Neg,29,29
Thomas Edison EnergySmart Charter VG,West Des Moines Valley RT,Conor Obrien,Neg,27,29
Immaculate Heart JL,Strake Jesuit  JY,Derek Ying,Aff,29,28
Woodrow Wilson SR,Bridgeland PT,Emily Atamov,Neg,27,30
Lexington BF,Immaculate Heart RR,Tommy Jordan,Aff,30,29
Southlake Carroll PK,Unionville PW,Grant Brown,Aff,29,29
Pennsbury GB,Durham SA,Dayanand Bhojak,Neg,29,29
Millard North JS,Catonsville AT,David Dosch,Aff,28,28
Strake Jesuit  KS,Monta Vista KR,Jenn Melin,Aff,29,29
Strath Haven AM,Westlake AK,Chris Randall,Aff,28,28
Millard North AR,Presentation AB,David Herrera,Neg,29,29
Ramsay DF,Unionville AS,Iyana Trotman,Aff,28,28
Memorial DX,Monta Vista RD,Ari Davidson,Aff,29,28
Peninsula AB,North Allegheny RR,Claudia Ribera,Neg,29,29
Memorial SC,Holy Cross ND,Vidya Reddy,Aff,28,27
Holy Cross JD,North Allegheny ST,Jung Park,Neg,28,28
Lexington AK,Westlake MR,Yoyo Lei,Aff,29,29
Ft Lauderdale EB,Marlborough MS,Leah Clark-Villanueva,Neg,28,29
Prospect ST,West Des Moines Valley SJ,Nathan Frenkel,Aff,29,29
Cardinal Gibbons RS,Charlotte Latin EL,Devin Anderson,Aff,29,29
Harvard-Westlake MT,Montgomery CH,Cale McCrary,Aff,29,28
Durham RL,Harvard-Westlake JH,Dhruv Channa,Neg,28,28
King CP,Carnegie Vanguard SR,Rishi Mukherjee,Neg,30,30
Silver Creek KZ,Eden Prairie AG,Bilal Butt,Neg,29,29
Coppell HA,Woodrow Wilson CO,Jacob Palmer,Neg,30,30
Loveless Academic Magnet Program RR,Harker AR,Chris Castillo,Neg,28,29
Strake Jesuit  JK,Bronx Science IP,Adam Torson,Aff,28,28
American Heritage Broward EM,Claudia Taylor Johnson AP,Kate Totz,Neg,28,30
Lexington AR,Brentwood AR,Gordon Krauss,Aff,28,28
Memorial BD,Lynbrook SY,Morgan Copeland,Neg,29,29
Charlotte Latin AP,Lake Highland Prep AB,Carlos Carrasco,Neg,29,29
Northland Christian LB,Peninsula RM,Bennett Dombcik,Neg,30,30
Montgomery JA,Marlborough MJ,Shampurna Mitra,Neg,30,30
Peninsula SM,Millard North NL,Jacob Bosley,Neg,28,29
Harvard-Westlake IC,NSU RL,Julian Kuffour,Aff,29,29
Sequoia AS,Coppell RM,Madeleine Conrad-Mogin,Aff,29,29
Peninsula AL,Lexington AT,Tyler Wood,Neg,29,29
Immaculate Heart AW,Lincoln East BH,Mike Girouard,Aff,29,29
Harrison JP,La Salle TP,Luke Bagdon,Aff,29,29
American Heritage Broward SS,Village RB,David McGinnis,Aff,28,27
Riverwood LF,Harvard-Westlake CC,Gerard Grigsby,Neg,27,29
Ardrey Kell RG,Immaculate Heart BC,Robert Burns,Neg,29,29
NSU SF,Scripps Ranch AS,James Stuckert,Aff,29,29
Marlborough VA,New Trier RK,Sam Larson,Aff,28,28
Academy Of Classical Christian Studies JM,Lake Highland Prep PS,Jalyn Wu,Neg,29,30
Plano Independent JN,Lake Highland Prep AV,Andrew Shaw,Aff,30,29
Harker MK,Durham BG,Rachel Ding,Aff,29,28
Isidore Newman EE,,,,,
