Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
Plano West VV,Homestead SL,Diana Alvarez,Neg,28,29
Vestavia Hills GJ,McNeil AG,Joseph Barquin,Neg,29,29
Bellarmine  AK,Strake Jesuit  HZ,Holden Bukowsky,Aff,30,29
Fairmont Prep SV,San Mateo AS,Jim Gray,Aff,28,28
McNeil SC,Lexington BF,Grant Brown,Neg,28,29
La Salle ZW,Lake Highland Prep AV,Kassie Colón,Neg,29,30
Peninsula AY,Greenhill NT,Leah Clark-Villanueva,Neg,28,29
Sharon RG,Garland LY,Silma Bathily,Neg,29,30
Harker AR,Isidore Newman PJ,Andrew Wixson,Aff,29,29
Marlborough AW,Harvard-Westlake ML,David Dosch,Aff,29,28
Ayala AM,Marlborough WR,Micah Thode,Neg,29,30
Westwood AY,Brophy TJ,Danielle Dosch,Aff,29,28
Brentwood MD,Ramsay DF,Jayanne Forrest,Aff,29,29
BASIS Peoria PY,American Heritage Broward MC,Joseph Georges,Aff,30,30
Harvard-Westlake AW,Immaculate Heart SS,Colton Gilbert,Neg,28,29
Dr. Phillips BR,Harker SY,ec powers,Neg,29,28
Westlake MR,Dulles IC,Wyatt Hatfield,Aff,29,28
Ardrey Kell SG,Loyola CM,Derek Hilligoss,Aff,28,28
Acton-Boxborough SP,Saratoga AG,Parth Misra,Neg,29,29
Millburn AX,San Mateo YR,Emmiee Malyugina,Neg,30,30
Lexington JB,Strake Jesuit  JS,Austin Broussard,Neg,29,29
Coppell RM,Lake Highland Prep AB,Mark Kivimaki,Neg,28,28
American Heritage Broward EB,Plano West TS,Kyle Kopf,Aff,29,28
Westwood AG,Dwight-Englewood EK,Gordon Krauss,Aff,29,28
Westlake AK,Marlborough ML,Julian Kuffour,Neg,29,29
Peninsula EL,Carnegie Vanguard SR,Patrick Fox,Neg,28,29
Peninsula KD,Trinity Prep JC,Matt Liu,Aff,28,29
Westwood BJ,James Logan AB,Indu Pandey,Aff,29,28
Edina JS,Eagan AE,Jared Croitoru,Neg,27,30
Westside SY,Marlborough JK,Arianna Nelson,Aff,29,29
Aragon ZA,Brophy CC,,"Aff FFT																									Neg BYE","Aff FFT																									Neg BYE",
Los Altos BF,Westridge TW,Jacob Palmer,Aff,29,29
Harvard-Westlake KD,Bentonville West AK,Nick Fleming,Aff,29,28
Edina NK,Strake Jesuit  MS,Nelson Okunlola,Neg,28,29
Strake Jesuit  DA,Academy Of Classical Christian Studies JM,Andrew Qin,Neg,28,29
Valor Christian LS,DTHS HV,River Cook,Neg,29,29
Harvard-Westlake LD,Scarsdale RM,Peyton Reeves,Aff,28,28
Hunter AI,Harker KB,Alex Rivera,Neg,28,29
Strake Jesuit  KS,Memorial SC,Tajaih Robinson,Aff,30,29
James Logan KL,Westview CR,Weronika Janczuk,Aff,28,27
Greenhill KD,Millburn MM,Claudia Ribera,Aff,30,29
Westwood AR,Harker RM,Abishek Stanley,Neg,30,30
Ardsley ZS,Loveless Academic Magnet Program RR,Jacob Lugo,Aff,28,28
Westridge KY,Garland AA,Zaid Umar,Aff,28,28
Westwood PP,Peninsula CS,Lauren Woodall,Neg,29,29
Lexington AK,Lake Highland Prep PS,Jalyn Wu,Neg,29,30
La Reina LS,Loyola SG,Derek Ying,Neg,28,28
Harrison TB,Immaculate Heart AW,Diana Alvarez,Aff,30,28
Leland MN,Charlotte Latin AP,Joseph Barquin,Neg,29,29
Harrison EM,Presentation NR,Leah Clark-Villanueva,Aff,29,29
Immaculate Heart SP,Garland DA,Nelson Okunlola,Aff,28,28
Harvard-Westlake WL,Lexington AA,Grant Brown,Aff,29,28
Strake Jesuit  VM,New Trier RK,Jeong-Wan Choi,Aff,29,28
Westwood PM,Coppell ER,Kassie Colón,Aff,30,29
Dulles VN,Loyola IB,Derek Ying,Aff,29,28
Catonsville AT,Iowa City West NW,Jack Quisenberry,Neg,28,29
Millburn ST,Wyoming Virtual JC,Mohul Aggarwal,Neg,29,29
James Logan RS,Harker VZ,Danielle Dosch,Aff,29,29
Lexington AG,Iowa City West HM,Jayanne Forrest,Aff,29,29
Fishers GC,Eden Prairie AG,Phoenix Pittman,Neg,28,28
Marlborough JH,Cypress Bay ZR,Colton Gilbert,Aff,29,28
Brookfield East DJ,Harker PG,Raunak Dua,Aff,29,28
Peninsula AL,Memorial DX,Bernard Medeiros,Neg,28,29
Iowa City West ST,Harrison JP,Rafael Li,Neg,28,30
Milton AT,Strake Jesuit  ZD,Dylan Jones,Neg,29,30
American Heritage Broward SS,Isidore Newman EE,Micah Thode,Neg,28,30
Westlake AC,Immaculate Heart MF,Jacob Palmer,Aff,29,28
Scarsdale SV,Bronx Science NK,Kyle Kopf,Neg,29,30
Harker DV,Immaculate Heart RR,Gordon Krauss,Neg,29,29
Harvard-Westlake AL,Westwood VL,Julian Kuffour,Aff,29,29
Southlake Carroll SD,Loyola AP,Sam Larson,Aff,29,28
Loyola LR,Westview JO,,"Aff BYE																									Neg FFT","Aff BYE																									Neg FFT",
Scarsdale KS,Durham RL,Nethmin Liyanage,Aff,29,28
Isidore Newman GP,Neenah IH,Peyton Reeves,Aff,29,28
Bentonville West KM,Peninsula AB,Ian Mattson,Neg,28,28
Harvard-Westlake CR,Harker MK,Lena Mizrahi,Neg,29,29
Harvard-Westlake NL,Nova CD,Nick Fleming,Aff,29,28
Ardrey Kell RG,Vestavia Hills DS,Lukas Krause,Neg,28,29
La Salle MQ,Apple Valley NB,Andrew Qin,Neg,28,28
Coppell HA,La Salle TP,Morgan Copeland,Aff,30,29
James Logan LZ,Durham SA,Alex Rivera,Neg,28,29
Lexington VM,Lake Highland Prep YA,Tajaih Robinson,Aff,30,29
Memorial BD,West Des Moines Valley AM,Collin Smith,Aff,29,29
James Logan ZW,Bergen County Academies AK,Abishek Stanley,Neg,28,30
Albuquerque AK,Marlborough MJ,Lauren Woodall,Neg,29,29
Apple Valley KW,Sam Barlow EL,Jalyn Wu,Neg,29,29
