Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
Garland DA,Aragon ZA,Clement Agho-Otoghile,Neg,28,28
Coppell ER,Ardrey Kell SG,Diana Alvarez,Neg,28,28
Brophy CC,Coppell RM,Joseph Barquin,Neg,28,28
San Mateo AS,Coppell HA,Joseph Barquin,Neg,28,28
Westridge TW,Vestavia Hills GJ,Silma Bathily,Neg,29,29
Durham SA,Strake Jesuit  DA,Silma Bathily,Neg,29,29
Ramsay DF,La Salle ZW,Benjamin Bies,Neg,28,29
Scarsdale RM,James Logan ZW,Austin Broussard,Neg,28,28
Plano West TS,James Logan KL,Austin Broussard,Aff,29,28
DTHS HV,Strake Jesuit  KS,Holden Bukowsky,Aff,30,29
Presentation NR,Brookfield East DJ,Holden Bukowsky,Aff,29,28
Marlborough WR,Greenhill KD,Vishan Chaudhary,Neg,29,29
Dwight-Englewood EK,Westwood PM,Vishan Chaudhary,Neg,28,29
Isidore Newman PJ,Westwood AR,Kassie Colón,Neg,30,30
Bentonville West AK,Loyola LR,Kassie Colón,Aff,29,29
Harker PG,La Reina LS,Morgan Copeland,Aff,29,29
Greenhill NT,Albuquerque AK,Jared Croitoru,Aff,29,28
Eagan AE,Milton AT,Sreyaash Das,Aff,29,29
American Heritage Broward MC,Marlborough AW,Sreyaash Das,Neg,29,29
Harker SY,Harvard-Westlake KD,David Dosch,Aff,29,28
Harker MK,Fishers GC,Danielle Dosch,Aff,29,28
Immaculate Heart SS,Millburn AX,Raunak Dua,Aff,28,28
Peninsula AB,Westside SY,Nick Fleming,Neg,29,29
Carnegie Vanguard SR,American Heritage Broward SS,Joseph Georges,Aff,30,30
Iowa City West NW,Lexington JB,Joseph Georges,Neg,29,30
Loyola AP,Harvard-Westlake WL,Colton Gilbert,Aff,28,28
Marlborough JK,Edina JS,Colton Gilbert,Aff,28,28
Durham RL,Ardsley ZS,Venkata Gontla,Aff,29,28
Nova CD,Dr. Phillips BR,Pandu Ranganath,Neg,26,28
Charlotte Latin AP,Isidore Newman GP,Derek Hilligoss,Neg,29,29
Trinity Prep JC,Scarsdale SV,Weronika Janczuk,Neg,30,30
San Mateo YR,Brentwood MD,Dylan Jones,Aff,29,28
Bronx Science NK,James Logan RS,Dylan Jones,Aff,28,28
Lexington BF,Plano West VV,Joshua StPeter,Aff,30,29
Vestavia Hills DS,Peninsula AL,Emmiee Malyugina,Aff,29,28
Millburn MM,Scarsdale KS,Braedon Kirkpatrick,Neg,28,30
Sam Barlow EL,Lexington AG,Mark Kivimaki,Neg,28,29
Lake Highland Prep AV,Harrison EM,Mark Kivimaki,Aff,29,28
Wyoming Virtual JC,BASIS Peoria PY,Kyle Kopf,Neg,28,30
West Des Moines Valley AM,Bellarmine  AK,Kyle Kopf,Neg,28,29
Garland LY,Immaculate Heart SP,Lukas Krause,Aff,29,28
Harker RM,Westwood PP,Gordon Krauss,Aff,29,28
Brophy TJ,Strake Jesuit  VM,Gordon Krauss,Neg,28,29
Immaculate Heart RR,Harker AR,Julian Kuffour,Neg,29,30
Immaculate Heart AW,Harvard-Westlake AW,Julian Kuffour,Neg,29,29
Apple Valley NB,Valor Christian LS,Michael Kurian,Aff,30,30
Strake Jesuit  MS,Westlake AC,Michael Kurian,Aff,30,29
Immaculate Heart MF,American Heritage Broward EB,Sam Larson,Neg,28,27
Loyola SG,Harvard-Westlake LD,Sam Larson,Aff,28,28
Westwood VL,Edina NK,Matt Liu,Aff,29,29
McNeil AG,Memorial BD,Nethmin Liyanage,Neg,29,29
Harvard-Westlake ML,Iowa City West ST,Nethmin Liyanage,Aff,28,27
Harrison JP,Harvard-Westlake AL,Jacob Lugo,Neg,28,29
New Trier RK,Harvard-Westlake NL,Jacob Lugo,Aff,28,28
Loyola IB,Catonsville AT,Parth Misra,Neg,29,29
Cypress Bay ZR,Westridge KY,Parth Misra,Aff,29,28
Academy Of Classical Christian Studies JM,Lexington VM,Javier Navarrete,Neg,30,30
Dulles IC,Lexington AK,Javier Navarrete,Neg,29,30
Strake Jesuit  JS,Westwood AG,Nelson Okunlola,Aff,29,29
Neenah IH,Apple Valley KW,Nelson Okunlola,Neg,28,28
Memorial SC,James Logan LZ,Jacob Palmer,Aff,29,28
Saratoga AG,Hunter AI,Jacob Palmer,Aff,30,29
Peninsula CS,Los Altos BF,Scott Phillips,Aff,29,29
Lake Highland Prep AB,Dulles VN,Andrew Qin,Neg,28,28
Harker KB,Marlborough JH,Tarun Ratnasabapathy,Aff,29,29
Bergen County Academies AK,Sharon RG,Tarun Ratnasabapathy,Aff,29,29
Isidore Newman EE,Harrison TB,Claudia Ribera,Aff,29,29
Homestead SL,Westlake MR,Claudia Ribera,Aff,29,29
Marlborough MJ,Southlake Carroll SD,Alex Rivera,Aff,29,29
James Logan AB,Ayala AM,Alex Rivera,Neg,29,29
Memorial DX,Millburn ST,Tajaih Robinson,Aff,29,29
Scarsdale JK,Westlake AK,Tajaih Robinson,Neg,29,29
Westview CR,La Salle MQ,Katy Schwartz Drowns,Aff,28,25
Strake Jesuit  ZD,Fairmont Prep SV,SunHee Simon,Aff,29,28
Iowa City West HM,McNeil SC,SunHee Simon,Neg,28,29
Loyola CM,Harvard-Westlake CR,Collin Smith,Aff,29,29
Marlborough ML,Westwood AY,Peyton Reeves,Neg,29,29
Eden Prairie AG,Harker DV,Margaret Strong,Neg,28,29
Lexington AA,Leland MN,Andrew Torrez,Neg,28,28
La Salle TP,Peninsula KD,Lauren Woodall,Neg,29,28
Lake Highland Prep YA,Acton-Boxborough SP,Jalyn Wu,Aff,29,29
Lake Highland Prep PS,Westwood BJ,Derek Ying,Neg,30,30
Strake Jesuit  HZ,Peninsula EL,Derek Ying,Aff,29,28
Garland AA,Ardrey Kell RG,Clement Agho-Otoghile,Neg,28,28
Harker VZ,Bentonville West KM,Morgan Copeland,Aff,29,29
Loveless Academic Magnet Program RR,Peninsula AY,Collin Smith,Aff,28,28
