Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
Dublin AL,JPG JF,Clement Agho-Otoghile,Neg,28,28
Strake Jesuit  JWe,Interlake DB,Sam Larson,Aff,30,29
Garland LY,Isidore Newman EE,Blake Andrews,Aff,30,30
Bridgeland PT,Westlake AK,Blake Andrews,Neg,28,28
Dulles JL,Plano West VV,Sarah Botsch-McGuinn,Aff,30,29
Strake Jesuit  ZD,Lexington BF,Grant Brown,Neg,30,30
Marcus JR,Westwood PM,Grant Brown,Neg,29,29
Strake Jesuit  DA,Scarsdale KS,Connor Self,Neg,28,28
Cooper City NR,Coppell ER,Holden Bukowsky,Aff,29,28
Coppell HA,James Logan SM,jilson Carbajal,Aff,30,29
Lake Highland Prep NP,Dr. Phillips AD,Jeong-Wan Choi,Neg,28,29
Plano East JN,McNeil SC,Amanda Ciocca,Aff,30,30
Dulles TY,Strake Jesuit  JS,Sreyaash Das,Aff,30,30
Dulles NJ,Strake Jesuit  JK,Sreyaash Das,Neg,30,30
Brentwood SR,Plano East NG,Jayanne Forrest,Neg,29,30
Newman Smith SJ,Harrison JC,Delon Fuller,Aff,30,28
Coppell SK,Westlake AC,Shubhang Arashanapalli,Neg,27,29
San Mateo AS,Garland DA,Emily Jackson,Aff,30,28
West HS SLC HZ,Claudia Taylor Johnson AP,Chasia Jeffries,Neg,29,30
McNeil YM,Strake Jesuit  NW,Dylan Jones,Neg,28,29
Southlake Carroll SD,Dulles RB,Dylan Jones,Aff,29,28
Plano East NK,Perry JA,Sam Larson,Neg,29,30
Memorial DX,Denton Guyer SB,Truman Le,Aff,29,28
Presentation NR,Memorial BD,Truman Le,Neg,28,29
Garland AA,Murrah PH,Patrick Li,Neg,26,27
Westlake NB,Stephen F Austin EN,T.J. Maher,Neg,28,28
Newman Smith VY,Elkins RS,Anandhi Manikantan,Neg,29,29
Westwood AR,San Mateo YR,Samantha McLoughlin,Neg,29,29
Westwood BJ,Cypress Woods AZ,Samantha McLoughlin,Aff,29,28
McNeil AR,Westlake MR,Rodrigo Paramo,Neg,29,29
Carnegie Vanguard LH,Harrison JP,Rodrigo Paramo,Neg,28,29
St Agnes EH,Strake Jesuit  KS,Jack Quisenberry,Neg,29,29
Strake Jesuit  DLe,William P. Clements AK,Jack Quisenberry,Aff,29,29
Stephen F Austin VG,Northland Christian CS,Claudia Ribera,Aff,29,28
West Des Moines Valley MM,Brookfield East DJ,Andrew Shaw,Neg,28,28
Midlothian AC,Westwood VL,Nicky Smith,Neg,29,30
Lexington JB,Plano East AW,James Stuckert,Neg,29,29
Dulles VN,Southlake Carroll PK,James Stuckert,Neg,29,29
Strake Jesuit  MS,Catonsville AT,Favian Sun,Aff,29,29
McNeil AG,Lexington AG,Favian Sun,Neg,30,30
Interlake KK,Christopher Columbus PC,Navya Tarikere,Aff,30,27
Lake Highland Prep AB,Southlake Carroll EP,Micah Thode,Aff,28,28
Bergen County Academies AK,Southlake Carroll CC,Micah Thode,Aff,29,28
Westwood AG,West Des Moines Valley JS,Becca Traber,Aff,30,29
Evergreen Valley SS,Southlake Carroll AS,Mohammad Ullah,Aff,28,28
Memorial SC,Northland Christian LB,Megan Wu,Neg,29,30
Cypress Woods CT,William P. Clements MM,Margaret Strong,Neg,29,29
Strake Jesuit  VC,Harrison MB,allison aldridge,Aff,30,29
Coppell EH,Round Rock SV,Sarah Botsch-McGuinn,Neg,29,30
Kenston EJ,Lexington AR,Holden Bukowsky,Neg,28,28
Loveless Academic Magnet Program RR,Christopher Columbus AM,Jeong-Wan Choi,Neg,28,28
Coppell RM,,,Aff BYE,Aff BYE,
