Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
Evergreen Valley SS,Christopher Columbus AM,Aaron Timmons,Aff,30,28
Isidore Newman EE,Lexington AR,Chansey Agler,Aff,29,28
Westwood PM,Garland AA,Blake Andrews,Aff,29,28
Lexington JB,Strake Jesuit  JWe,Samantha McLoughlin,Aff,29,29
Coppell ER,Stephen F Austin VG,Sarah Botsch-McGuinn,Aff,29,29
James Logan SM,Claudia Taylor Johnson AP,X Braithwaite,Neg,28,29
Loveless Academic Magnet Program RR,West HS SLC HZ,Austin Broussard,Neg,28,28
Southlake Carroll PK,Westwood AG,Grant Brown,Aff,29,29
San Mateo AS,McNeil AG,Holden Bukowsky,Neg,27,28
Coppell SK,West Des Moines Valley JS,jilson Carbajal,Neg,26,28
Coppell RM,Lexington AG,Chris Castillo,Neg,28,28
Perry JA,San Mateo YR,Grant Chmielewski,Neg,27,28
Lake Highland Prep AB,Cypress Woods AT,Jeong-Wan Choi,Aff,29,28
Strake Jesuit  DA,Newman Smith VY,Sreyaash Das,Aff,30,30
Murrah PH,Cypress Woods CT,Brennan Dufrene,Neg,26,27
Westlake MR,Dulles RB,Andrew Torrez,Aff,28,28
Westlake AK,Harrison MB,Delon Fuller,Neg,28,28
Round Rock SV,Dublin AL,Christopher Gearing,Neg,29,29
Carnegie Vanguard LH,Elkins RS,Joseph Georges,Aff,29,29
Northland Christian CS,Bridgeland PT,Wyatt Hatfield,Neg,28,30
Strake Jesuit  DLe,Brentwood SR,Devin Hernandez,Aff,29,28
Stephen F Austin EN,Catonsville AT,Javier Hernandez,Neg,28,29
Plano East NG,Strake Jesuit  MS,Irene Hwang,Aff,28,27
Kenston EJ,Midlothian AC,Emily Jackson,Neg,24,28
Dulles JL,Westlake AC,Chasia Jeffries,Neg,28,29
McNeil AR,Plano East AW,Favian Sun,Neg,28,30
Southlake Carroll EP,Cooper City NR,Sam Larson,Aff,29,29
Bergen County Academies AK,Brookfield East DJ,Truman Le,Neg,28,28
Dulles TY,West Des Moines Valley SJ,T.J. Maher,Aff,29,29
Strake Jesuit  VC,Presentation NR,Dylan Jones,Aff,29,29
Lake Highland Prep IK,Strake Jesuit  JS,John Fruge,Neg,27,28
Plano West VV,Lexington BF,Jenn Melin,Neg,29,29
William P. Clements AK,Lake Highland Prep NP,Rodrigo Paramo,Aff,29,28
Denton Guyer SB,Westwood VL,Vandan Patel,Aff,29,29
Southlake Carroll SD,Memorial DX,Jack Quisenberry,Neg,29,29
Harrison JP,Strake Jesuit  ZD,Demarcus Powell,Neg,29,29
Plano East NK,Southlake Carroll AS,Claudia Ribera,Neg,28,29
Christopher Columbus PC,Memorial SC,Connor Self,Neg,29,30
Dr. Phillips AD,Dulles VN,Andrew Shaw,Neg,28,29
McNeil SC,Coppell EH,Nicky Smith,Aff,29,29
McNeil YM,Westwood AR,James Stuckert,Neg,29,29
Plano East JN,Memorial BD,DavÍ­d Salazar,Neg,29,30
Scarsdale KS,Southlake Carroll CC,Jayanne Forrest,Aff,29,29
Northland Christian LB,Garland LY,Micah Thode,Neg,28,29
Strake Jesuit  NW,Westwood BJ,Becca Traber,Neg,29,29
Newman Smith SJ,Interlake DB,Mohammad Ullah,Neg,28,28
Cypress Woods AZ,JPG JF,Ramakoti Vaddula,Aff,26,25
St Agnes EH,Garland DA,Pranav Vijayan,Aff,29,28
Westlake NB,Strake Jesuit  KS,Stephan Voudris,Neg,27,30
Coppell HA,Dulles NJ,Annie Wang,Neg,28,29
West Des Moines Valley MM,William P. Clements MM,Megan Wu,Aff,29,28
Harrison JC,Interlake KK,Harry Yu,Aff,28,28
Strake Jesuit  JK,Marcus JR,allison aldridge,Neg,29,29
