Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
American Heritage Broward MC,Strake Jesuit  KS,Lukas Krause,Neg,28,29
Oxford VM,Carnegie Vanguard LH,Parth Misra,Aff,29,29
Syosset LG,Millburn AX,Ronak Ahuja,Aff,30,29
Lexington CH,King AT,Sreyaash Das,Neg,30,30
Lake Highland Prep SV,Northern Valley HS Independent JS,Michael Kurian,Neg,29,30
Sharon RG,Plano East HN,Zac Clough,Neg,28,28
Newport EY,South Eugene Independent KS,Viren Abhyankar,Neg,28,28
Harrison AC,duPont Manual HS  / Youth Performing Arts DJ,Jada Bourne,Aff,30,30
Bergen County Academies AK,Randolph CC,Amelia Ritenour,Aff,29,28
Lake Highland Prep PS,Ardrey Kell RG,Saianurag Karavadi,Aff,30,26
Riverdale Country SC,Newport AA,Ava Zinman,Neg,30,30
Strake Jesuit  JS,Prospect ST,Andrew Shaw,Neg,29,30
Ridge MS,Providence AA,Kobe Thompson,Aff,29,29
Hunter AI,Harrison JP,Kati Johnson,Aff,30,30
Strake Jesuit  JY,Mahtomedi SS,Zoheb Nensey,Neg,28,29
Acton-Boxborough ALi,Academy Of Classical Christian Studies JM,Nam Nguyen,Aff,29,29
Bronx Science KH,Dulles VN,Andrew Shaw,Neg,28,29
Newtown NT,Ogando Independent GO,Michelle Dai,Aff,27,25
George Washington KR,Tempe Prep CC,Chetan Hertzig,Neg,28,29
Cooper City NR,Acton-Boxborough TW,Quinn Hughes,Aff,29,28
Lexington AK,Bergen RZ,Charles Karcher,Aff,29,28
Mercer Island KS,Rock Hill LM,Tanya Moss-Barry,Aff,29,28
Memorial SC,Bronx Science NK,Reed Weiler,Aff,29,28
Tampa-Jesuit TG,Jupiter KG,Mattias Durán,Neg,28,30
Lexington AT,Palm Beach Independent MP,Tahj Johnson,Aff,30,28
Lake Highland Prep VS,Cherry Creek EZ,Nathan Frenkel,Neg,28,29
Harrison TB,Plano East VR,Deena McNamara,Aff,30,29
North Mecklenburg PM,Carnegie Vanguard SR,Nathan Frenkel,Neg,29,29
