Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
Harrison TB,Bronx Science TB,Clement Agho-Otoghile,Aff,29,28
Claudia Taylor Johnson AP,Mission San Jose SR,Mariana Colicchio,Neg,30,30
Strake Jesuit  NW,Bronx Science NK,Elias Altman,Neg,30,30
Ridge VS,Sharon RG,Aphe Astrachan,Neg,26,30
Lake Highland Prep YA,Durham BG,Andrew Lee,Aff,29,28
Stuyvesant LC,West Des Moines Valley SJ,Allison Aldridge,Neg,29,29
Hunter AI,Randolph JP,Curtis Chang,Aff,28,28
James Logan SM,Westford AW,Victor Chen,Neg,28,29
Millburn ST,Edgemont Junior-Senior AJ,Grant Brown,Neg,29,29
Clover Hill MM,Ridge DJ,Balamurugan Saravanan,Aff,29,29
BASIS Peoria PY,Harrison MB,Andrea Chow,Aff,29,28
Pennsbury EH,Hunter AH,Cyprian Dumas,Aff,29,29
Lake Highland Prep PS,Milton AT,Anthony Cui,Neg,29,29
Dulles TY,Strake Jesuit  JW,Keshav Dandu,Neg,20,30
Lexington AK,Memorial BD,Abhilash Datti,Neg,28,28
Syosset LG,Millburn AX,Zac Davis,Neg,28,30
Charlotte Latin AP,Loveless Academic Magnet Program RR,Devin Jiang,Neg,29,30
Lincoln JR,Mission San Jose SB,Henry Eberhart,Aff,25,29
La Salle TP,Strake Jesuit  HZ,Parth Misra,Neg,28,29
Lexington JB,Catonsville AT,Bennett Fees,Aff,29,29
Ridge SN,Unionville AS,Nathan Frenkel,Neg,29,29
Montville AA,West Des Moines Valley MM,Luke Gastelu,Neg,29,29
Byram Hills EW,Millburn EC,Chianli Hang,Aff,28,28
Olympia BO,Acton-Boxborough AM,Arshita Sandhiparthi,Aff,30,30
Memorial DX,Scripps Ranch AS,Wyatt Hatfield,Aff,30,30
Princeton CB,Scarsdale OL,David Herrera,Aff,29,29
Colonial Forge SR,Byram Hills SH,Amy Nyberg,Aff,29,29
Montville AM,Lexington VM,Animesh Joshi,Neg,28,29
Mountain View EN,Westford AP,Ildar Khabibrakhmanovk,Aff,29,28
Charlotte Country Day AC,Village RB,Mark Kivimaki,Neg,28,29
West Des Moines Valley CK,Byram Hills AK,Rohit Lakshman,Neg,29,29
North Mecklenburg PM,Academy Of Classical Christian Studies JM,Saied Beckford,Aff,30,30
Syosset ML,Lovejoy JV,Josh Li,Aff,29,29
Charlotte Latin EL,American Heritage Broward JA,Patrick Li,Neg,28,29
Bronx Science KH,Montville NP,Nethmin Liyanage,Neg,28,28
Princeton ND,Scarsdale BS,T.J. Maher,Neg,30,30
Hunter AL,Acton-Boxborough AK,Ezekiel Matous,Neg,27,28
American Heritage Broward EM,Park City NL,David McGinnis,Neg,29,28
Lexington FM,King CP,Daniel Miller,Neg,28,29
Solebury LN,Randolph CC,Ashish Mittal,Neg,28,28
Sam Barlow EL,West Des Moines Valley RT,Eshwar Mohan,Neg,28,29
Dr. Phillips AD,Peachtree Ridge RL,Jacob Nails,Neg,29,29
Strake Jesuit  VM,West Des Moines Valley JS,Ananya Natchukuri,Aff,29,29
Stuyvesant MZ,Holy Trinity Episcopal BL,Amulya Natchukuri,Aff,28,28
Olympia OE,Pennsbury GB,Justin Smith,Aff,28,28
Syosset BL,Unionville MG,Joshua Philip,Aff,28,28
McDowell JJ,Brophy SA,Kate Phillippo,Aff,29,28
Needham LF,Princeton JG,Reid Pinckard,Neg,29,30
King AT,Bronx Science IP,Sophia Ploucha,Aff,29,29
Montville SH,Evergreen Valley SS,Anand Rao,Neg,29,29
Roeper RL,Millburn AK,Naomi Robles,Aff,29,28
Montville RP,Ardrey Kell SG,Jesse Lerman,Aff,29,28
Unionville PW,Lexington CH,Amelia Ritenour,Neg,29,29
Lake Nona BJ,Lake Highland Prep AV,Tajaih Robinson,Neg,29,30
Millburn WW,Strake Jesuit  DA,Stephen Scopa,Neg,28,28
Princeton VC,Thomas Jefferson HSST AP,Matthew Slencsak,Aff,29,29
Needham TL,Harrison JC,Aeryn Smith,Neg,28,28
Holy Ghost Prep MM,American Heritage Broward MC,Favian Sun,Neg,28,29
Monta Vista RD,Summit MR,Praphulla Suryawanshi,Aff,30,29
Monta Vista KR,Scarsdale JT,Eric Tang,Neg,29,29
Princeton ML,Lexington AMa,Conal Thomas-McGinnis,Aff,29,28
American Heritage Broward NR,Edgemont Junior-Senior AA,Neville Tom,Aff,29,28
Flintridge Prep TV,Walt Whitman EY,Nathaniel Tran,Neg,29,29
Lexington AG,Ardrey Kell SA,Calvin Tyler,Aff,29,28
Hoover SL,Millburn BW,Carolyn Vicari,Aff,28,28
Lexington AR,Strake Jesuit  MS,Ben Waldman,Neg,28,29
Pittsburgh Central Catholic EF,American Heritage Broward SS,Annie Wang,Neg,28,30
Oak Grove AA,Chaminade ZS,Christine Anthony,Neg,28,29
Dublin AL,Harrison EM,Symone Whalin,Neg,28,29
,Brophy CC,,Neg BYE,Neg BYE,
